# Sta         Lat(deg)    Long(deg)
POR1        43.07       289.29 
POR2        -32.84      289.87 
POR3        43.07       289.29 
POR4        43.07       289.29 
POR8        46.21       358.48 
PORA        -40.27      176.64 
PORC        41.60       239.26 
PORD        45.96       12.66 
PORE        45.23       13.60 
PORG        -5.47       143.11 
PORK        54.84       354.88 
PORT        45.77       12.83 
POSD        32.67       242.88 
POST        21.30       202.18 
POSU        43.47       17.33 
POSW        19.01       261.34 
POT1        61.06       213.30 
POT2        61.06       213.30 
POT5        61.06       213.30 
POT6        61.06       213.30 
POTB        38.20       238.06 
POTG        -24.01      28.93 
POTH        44.10       237.96 
POTM        52.38       13.07 
POTR        32.62       243.41 
POTS        52.38       13.07 
POUE        -20.23      164.02 
POUM        -20.23      164.02 
POUS        50.14       12.30 
POVE        -8.71       296.10 
POWA        43.38       272.11 
POZA        37.42       34.87 
POZE        45.33       17.68 
POZL        36.73       14.79 
POZO        38.38       355.15 
POZZ        46.42       11.68 
PPBF        33.84       242.82 
PPEC        -0.50       280.65 
PPER        48.52       291.53 
PPNJ        -1.99       99.60 
PPPC        9.77        118.74 
PPST        44.00       263.67 
PPT1        37.19       237.61 
PPT2        37.19       237.61 
PPT3        -17.54      210.43 
PPT5        37.19       237.61 
PPT6        37.19       237.61 
PPTE        -22.12      308.59 
PPTG        16.22       298.47 
PQRL        42.98       6.21 
PR4N        18.08       293.63 
PRA1        44.51       1.19 
PRA2        53.20       254.25 
PRAE        50.20       356.28 
PRAG        50.12       14.46 
PRAI        39.90       15.78 
PRAL        53.21       254.07 
PRAP        -12.43      130.84 
PRAR        18.45       293.35 
PRAT        43.89       11.10 
PRCE        -35.36      149.09 
PRCG        17.93       283.15 
PRCO        34.98       262.48 
PRCS        38.69       350.71 
PRCV        -24.96      306.53 
PRD2        50.87       245.71 
PRD3        50.87       245.71 
PRDS        50.87       245.71 
PRDU        40.43       273.09 
PRDY        47.39       237.39 
PRE1        -25.75      28.22 
PRE2        47.03       12.07 
PRE3        -25.75      28.22 
PRE4        -25.75      28.22 
PREC        42.85       13.04 
PREI        56.29       26.72 
PREL        50.85       250.59 
PREM        45.87       9.88 
PRET        -25.73      28.28 
PREV        45.86       285.93 
PRFJ        18.33       294.35 
PRG6        53.91       237.66 
PRGO        53.91       237.22 
PRGU        -25.38      308.51 
PRGY        18.05       293.19 
PRHL        18.38       293.85 
PRI1        51.72       359.17 
PRI5        42.67       21.19 
PRIE        43.28       5.37 
PRIG        40.31       15.11 
PRIJ        43.39       19.64 
PRIL        41.34       21.56 
PRIS        50.08       3.77 
PRJC        18.34       293.00 
PRKB        -2.97       100.40 
PRKR        46.91       264.93 
PRKS        -33.13      148.18 
PRKV        39.25       26.27 
PRLK        52.72       257.05 
PRLP        18.19       294.13 
PRLT        18.06       292.81 
PRMA        -23.41      308.06 
PRMI        17.97       292.95 
PRML        17.94       283.16 
PRMO        4.80        284.55 
PRMS        30.30       269.05 
PRN4        18.08       293.63 
PRNA        -31.78      299.53 
PRNL        -24.60      289.62 
PRNT        47.92       285.38 
PRNY        46.90       6.34 
PRO1        -26.16      151.60 
PRO2        41.07       23.39 
PROV        45.46       9.20 
PROX        21.30       270.33 
PRPT        -66.01      294.66 
PRR1        45.34       279.98 
PRRS        49.19       358.58 
PRRY        30.08       276.43 
PRSE        45.65       8.37 
PRSN        18.22       292.86 
PRSR        46.22       240.21 
PRT2        44.92       283.71 
PRTF        -38.39      142.24 
PRTL        53.03       352.70 
PRTU        -38.81      177.70 
PRUH        49.99       14.54 
PRUR        -23.81      306.68 
PRX5        39.95       254.81 
PRYL        50.59       32.40 
PSA2        33.09       343.66 
PSAL        45.43       12.34 
PSAN        42.52       14.14 
PSAP        33.82       243.51 
PSAR        38.32       22.18 
PSB1        41.22       14.81 
PSBR        42.05       353.36 
PSC1        44.43       285.75 
PSC2        39.74       273.62 
PSCC        35.95       275.83 
PSCI        39.83       273.96 
PSCN        41.85       273.75 
PSCW        43.04       271.82 
PSDM        34.09       242.19 
PSEA        47.45       237.68 
PSGA        -19.60      289.88 
PSKA        -29.67      22.75 
PSKI        -1.12       100.35 
PSMK        -0.09       97.86 
PSNR        15.02       120.08 
PSON        49.18       258.74 
PSPT        42.75       237.51 
PSRF        14.98       120.93 
PSRS        38.43       255.72 
PSSB        34.43       240.30 
PSTA        42.66       278.79 
PSTC        14.28       121.41 
PSTE        42.43       11.12 
PSTN        18.45       122.14 
PSTO        1.21        282.72 
PSTX        31.31       244.16 
PSU1        40.81       282.15 
PSUR        9.79        125.49 
PTA1        -53.16      288.95 
PTAA        48.12       236.51 
PTAC        11.25       125.00 
PTAG        14.54       121.04 
PTAL        49.26       235.14 
PTAR        15.47       120.59 
PTAX        32.38       244.54 
PTB1        40.52       280.03 
PTBB        52.30       10.46 
PTBG        -23.92      29.47 
PTBN        -5.76       104.78 
PTCH        14.71       267.60 
PTCL        -17.70      288.63 
PTDJ        11.79       42.88 
PTDL        46.29       287.33 
PTEG        44.44       278.60 
PTER        44.31       281.70 
PTEX        32.29       243.48 
PTGG        14.54       121.04 
PTGN        53.48       256.42 
PTGO        8.53        124.76 
PTGV        36.41       270.30 
PTGX        36.41       270.30 
PTGY        14.10       120.94 
PTHD        -20.41      118.61 
PTHK        45.62       298.66 
PTHL        -20.54      118.68 
PTIG        42.87       247.63 
PTIR        46.48       275.37 
PTKG        36.42       22.49 
PTKL        -34.48      150.91 
PTL1        43.68       289.71 
PTLD        -38.34      141.61 
PTLG        44.45       278.62 
PTLN        -34.73      135.86 
PTLO        -0.05       98.28 
PTMQ        -31.45      152.88 
PTNT        46.93       26.37 
PTNZ        40.63       15.82 
PTO1        44.95       12.33 
PTOI        -40.60      176.00 
PTOL        40.51       21.68 
PTON        -55.02      293.08 
PTPA        8.94        277.86 
PTPC        -34.13      288.00 
PTPP        8.20        277.12 
PTR1        40.53       16.06 
PTR2        -41.14      287.60 
PTRB        38.00       236.98 
PTRC        47.27       0.31 
PTRE        -18.19      290.43 
PTRF        48.54       235.59 
PTRJ        41.36       14.53 
PTRO        38.21       238.06 
PTRP        38.42       331.61 
PTRS        47.60       22.36 
PTSG        41.78       235.74 
PTSN        45.94       240.39 
PTSV        -35.09      138.49 
PTUG        17.66       121.75 
PTUJ        46.42       15.88 
PTVL        -17.75      168.32 
PUAN        15.67       263.51 
PUAR        8.31        277.17 
PUB5        38.29       255.65 
PUB6        38.29       255.65 
PUC1        39.60       249.19 
PUC2        39.59       249.24 
PUCA        -40.59      286.27 
PUEC        43.69       3.31 
PUGS        44.88       13.85 
PUGW        45.85       296.34 
PUH2        19.42       204.09 
PUHO        19.42       204.09 
PUIG        42.42       1.87 
PUIN        3.85        292.10 
PUJE        10.11       274.73 
PUKA        19.51       204.52 
PUKE        -38.07      178.26 
PULJ        59.77       30.32 
PULK        59.77       30.33 
PUMO        10.06       275.03 
PUMP        38.91       241.06 
PUO1        70.25       211.66 
PUOC        19.39       204.89 
PUPB        19.00       261.80 
PUPU        47.50       237.99 
PUR1        18.46       292.93 
PUR5        18.46       292.93 
PUR6        18.46       292.93 
PURD        16.00       120.58 
PURI        19.67       255.36 
PUST        22.47       90.38 
PUTY        -32.95      150.66 
PUYA        44.86       6.48 
PUYO        43.53       359.09 
PUYV        45.04       3.88 
PVAR        41.39       351.26 
PVCA        -30.27      288.38 
PVE3        33.74       241.60 
PVEP        33.74       241.60 
PVHS        33.78       241.63 
PVLD        52.28       76.94 
PVOE        14.37       269.37 
PVOG        38.61       21.52 
PVRS        33.77       241.68 
PVSU        14.34       269.40 
PWAY        -36.69      140.55 
PWEL        43.24       280.78 
PWES        30.20       264.49 
PWIL        -54.93      292.37 
PWRO        -38.42      290.79 
PXTN        49.64       4.63 
PYGR        -46.17      166.68 
PYHA        64.50       24.24 
PYL1        36.91       21.70 
PYLO        36.90       21.74 
PYRG        37.68       21.46 
PYRK        59.01       23.52 
PYUT        28.10       82.99 
PZAM        6.93        122.07 
PZCG        44.34       247.67 
PZIN        36.81       11.97 
PZNA        43.45       3.41 
PZUL        20.06       254.49 
Q072        22.31       114.24 
Q075        22.28       114.08 
Q086        22.26       113.86 
Q096        22.49       114.00 
Q430        22.49       114.14 
Q553        14.59       120.96 
QAAR        70.74       307.31 
QAQ1        60.72       313.95 
QARY        44.45       249.35 
QBC3        46.81       288.72 
QCAL        48.58       288.37 
QCB0        45.60       286.78 
QCCA        48.09       294.35 
QCLF        -38.27      144.64 
QCLO        45.50       286.55 
QCLP        45.62       283.99 
QCMI        45.64       286.02 
QCML        46.55       284.52 
QCMT        45.46       286.29 
QCNV        45.19       286.55 
QCRK        33.25       248.38 
QCS1        45.64       287.09 
QCS2        45.84       286.38 
QCSB        46.18       286.90 
QCSJ        45.30       286.69 
QCSL        46.03       286.90 
QCSM        46.67       287.97 
QCSN        48.39       282.76 
QCSR        45.27       286.38 
QCST        46.48       288.97 
QCTF        46.11       288.70 
QCTM        46.11       288.70 
QCTR        45.71       286.38 
QCVD        45.41       285.97 
QCVO        48.10       282.21 
QCWA        45.96       288.01 
QCY2        36.16       238.86 
QCYN        36.16       238.86 
QEQE        69.25       306.48 
QHTP        34.63       241.76 
QIKC        67.56       295.97 
QIKI        67.56       295.97 
QINT        41.99       356.97 
QLAP        -36.08      287.87 
QLLN        -43.11      286.34 
QLMN        -17.88      36.89 
QMAR        47.78       239.03 
QNAM        15.80       108.41 
QNSN        43.72       6.03 
QSCO        -33.39      288.30 
QSEC        9.84        274.64 
QSNL        52.98       237.51 
QT01        21.40       103.03 
QT02        20.70       106.79 
QT03        16.07       108.22 
QT04        10.35       107.09 
QTAY        -33.19      288.30 
QTWN        -31.91      26.92 
QUAD        50.13       234.67 
QUAM        -30.93      147.87 
QUAR        -43.53      169.82 
QUEA        -35.34      149.25 
QUEM        -0.24       281.50 
QUEN        12.59       273.15 
QUET        -22.20      292.66 
QUEX        32.55       244.85 
QUI2        -0.22       281.51 
QUI3        -0.14       281.53 
QUI4        -0.14       281.53 
QUIB        5.70        283.34 
QUIC        58.91       223.41 
QUIN        39.97       239.06 
QUIS        45.42       294.05 
QUL2        49.35       235.56 
QUYC        45.35       359.02 
QYLU        36.14       120.45 
R001        36.52       137.78 
R003        36.47       137.94 
R004        36.46       137.96 
R005        36.44       138.01 
R006        36.46       138.05 
R007        38.27       140.81 
R008        38.29       140.75 
R009        38.30       140.69 
R010        38.30       140.63 
R011        38.33       140.61 
R012        38.27       140.55 
R013        38.23       140.91 
R014        38.11       140.71 
R015        36.56       137.72 
R019        36.20       138.06 
R1ET        42.40       12.85 
R301        38.66       252.41 
RAAP        33.04       243.08 
RABC        58.23       256.32 
RABT        34.00       353.15 
RABU        44.27       6.98 
RACO        42.73       272.04 
RAD1        -22.08      291.07 
RADF        19.58       204.57 
RADO        46.34       14.17 
RAEG        36.99       334.87 
RAFF        37.22       14.36 
RAGG        34.68       243.85 
RAH1        48.05       24.20 
RAHI        -38.92      177.09 
RAHO        42.40       20.66 
RAIL        38.28       244.34 
RAIN        39.38       241.45 
RAJ5        24.39       88.60 
RAJS        24.37       88.64 
RAKW        -39.75      176.62 
RAL1        51.57       358.69 
RALR        35.79       281.36 
RAMG        -84.34      178.05 
RAMO        30.60       34.76 
RAMS        44.41       10.28 
RAMT        35.34       242.32 
RAN1        62.82       267.89 
RANC        -36.55      288.43 
RAND        -35.59      146.58 
RANE        48.64       359.79 
RANG        25.76       89.22 
RANK        -33.84      146.26 
RAPT        36.66       240.55 
RASF        -31.25      298.53 
RASH        28.30       34.80 
RASN        43.04       271.88 
RASS        43.65       11.84 
RASZ        27.49       49.11 
RAT0        63.99       20.90 
RATH        6.71        80.38 
RATT        39.49       241.25 
RAUL        -29.24      182.07 
RAUM        -37.97      177.68 
RAV1        44.41       12.19 
RAVN        -33.60      120.07 
RAWE        39.19       240.46 
RAWI        -38.50      177.42 
RAY1        43.16       6.49 
RAY2        51.41       255.46 
RAYG        -77.53      167.17 
RAYL        40.06       274.35 
RAYM        -32.76      151.75 
RAYN        29.74       249.46 
RBAT        34.00       353.14 
RBAY        -28.80      32.08 
RBC1        40.04       252.06 
RBC2        40.04       252.11 
RBFT        33.53       242.84 
RBIT        26.85       89.39 
RBRU        36.76       240.17 
RBUT        40.78       248.19 
RBV1        48.53       287.76 
RBVL        -34.59      142.77 
RC01        39.53       252.23 
RCA1        39.42       282.62 
RCA2        34.50       240.28 
RCDA        27.22       278.13 
RCDO        44.77       269.22 
RCH3        38.00       237.69 
RCHY        16.70       297.85 
RCK1        39.14       282.80 
RCK2        -23.38      150.51 
RCM7        25.61       279.62 
RCMD        37.65       282.51 
RCMN        -1.22       36.89 
RCMV        25.61       279.62 
RCRU        -39.67      286.82 
RCSC        33.44       242.41 
RCSD        -33.65      288.39 
RDAZ        18.45       289.28 
RDBA        18.28       289.67 
RDBO        18.95       289.60 
RDCT        29.81       264.51 
RDDR        52.27       246.19 
RDEO        -18.90      293.23 
RDF2        19.45       289.32 
RDFD        39.39       240.24 
RDHI        18.60       291.28 
RDIY        40.39       37.34 
RDJH        60.59       207.19 
RDLT        19.31       290.45 
RDLV        -41.19      175.40 
RDMA        19.54       288.92 
RDMC        19.85       288.36 
RDMI        18.98       290.95 
RDMO        39.40       241.00 
RDMS        18.98       290.96 
RDMT        34.64       243.38 
RDNE        18.50       288.58 
RDNG        40.63       237.63 
RDOM        37.68       241.10 
RDON        16.93       297.65 
RDPI        41.76       12.71 
RDRG        -19.68      63.43 
RDSD        18.46       290.09 
RDSF        19.29       289.75 
RDSJ        18.82       288.77 
RDSO        60.45       207.26 
RDWB        60.49       207.16 
READ        40.44       284.11 
REAL        45.50       286.34 
REAM        42.56       12.41 
REBO        45.20       12.03 
REC1        -82.81      18.90 
REC2        -81.71      8.58 
RECF        -8.05       325.05 
RECO        -29.15      300.34 
RECT        7.51        4.52 
RED5        39.56       284.43 
RED6        39.56       284.43 
REDC        60.42       207.23 
REDD        -43.70      169.92 
REDG        8.27        39.53 
REDL        47.88       264.96 
REDM        44.26       238.85 
REDR        39.89       240.01 
REDU        50.00       5.14 
REDW        44.56       267.47 
REDZ        54.47       17.12 
REED        43.70       235.89 
REES        39.16       242.67 
REFO        42.96       12.70 
REG8        50.31       255.79 
REGG        44.71       10.64 
REGI        39.45       16.16 
REGL        45.43       265.07 
REGU        43.35       12.58 
REHJ        41.54       271.84 
REIH        28.92       51.08 
RELA        36.72       243.45 
REMC        39.42       273.57 
REMO        43.45       12.23 
REN1        42.79       13.09 
REND        39.35       16.19 
RENN        48.11       358.33 
RENO        39.51       240.08 
RENS        43.00       355.87 
REP2        36.84       243.53 
REP3        36.84       243.53 
REP4        36.85       243.53 
REPC        66.52       273.77 
REPI        42.95       12.00 
REPL        66.52       273.77 
REPO        36.84       243.53 
RES1        34.59       275.16 
RES2        50.52       1.78 
RESC        74.75       265.00 
RESI        45.29       21.90 
RESO        74.69       265.11 
REST        49.56       258.91 
RESU        37.65       14.06 
RETH        35.39       24.61 
RETO        42.78       12.41 
RETS        38.43       21.43 
REUN        -21.21      55.57 
REUS        41.17       1.17 
REVE        50.99       241.80 
REYK        64.14       338.04 
REYN        39.98       239.54 
REYZ        64.14       338.04 
REZ1        56.53       27.34 
RG00        41.56       8.79 
RG01        34.67       251.96 
RG02        34.63       252.77 
RG03        33.65       254.85 
RG04        34.82       254.36 
RG05        32.55       251.64 
RG06        32.63       252.14 
RG07        32.50       253.16 
RG08        32.73       255.01 
RG09        36.30       252.94 
RG10        36.45       253.46 
RG11        36.52       254.22 
RG12        36.46       255.03 
RG13        36.49       255.79 
RG14        39.96       252.03 
RG15        39.91       253.25 
RG16        39.88       253.65 
RG17        39.76       254.33 
RG18        39.07       253.60 
RG19        39.19       254.45 
RG20        37.89       252.30 
RG21        37.77       252.89 
RG22        37.79       253.66 
RG23        37.74       254.50 
RG24        37.96       255.03 
RG25        33.99       251.77 
RG26        39.91       253.21 
RG92        49.80       255.74 
RG94        50.34       256.39 
RGAO        -34.25      290.62 
RGAR        -38.56      176.34 
RGAW        -38.00      176.90 
RGCR        -38.10      176.38 
RGDG        -53.79      292.25 
RGHD        -38.09      176.37 
RGHL        -38.25      176.35 
RGHR        -38.39      176.29 
RGKA        -38.02      176.24 
RGKW        -38.05      176.77 
RGLI        -38.00      176.39 
RGLN        -33.42      149.66 
RGMK        -38.14      176.47 
RGMT        -37.92      176.72 
RGNA        50.46       255.39 
RGNC        47.22       0.91 
RGNI        38.58       21.24 
RGON        -38.26      176.23 
RGOP        -37.85      176.56 
RGRE        -38.06      176.52 
RGRR        -38.34      176.51 
RGTA        -38.23      176.51 
RGTG        -14.95      212.29 
RGUT        -38.18      176.19 
RGWC        -37.52      177.19 
RGWI        -37.52      177.18 
RGWV        -38.35      176.21 
RHCG        34.00       241.99 
RHCL        34.02       241.97 
RHER        45.63       270.56 
RHIL        38.42       242.43 
RHIY        39.91       38.77 
RHOF        66.46       344.05 
RHOL        65.43       337.79 
RHPT        -41.07      145.96 
RIA1        41.28       356.52 
RIAN        42.98       354.99 
RIAZ        41.28       356.52 
RIBA        36.46       25.34 
RIBE        43.46       354.93 
RIBJ        32.85       342.84 
RIC1        37.54       282.57 
RIC2        46.28       240.72 
RIC3        43.37       269.62 
RIC4        67.10       223.87 
RIC5        37.63       282.41 
RICE        32.24       263.50 
RICH        39.83       275.10 
RICM        54.41       358.26 
RICO        39.88       242.89 
RID1        -23.29      150.21 
RIDD        46.17       7.22 
RIDG        36.49       244.38 
RIE1        55.73       21.93 
RIED        48.20       13.49 
RIET        42.41       12.86 
RIFC        64.92       343.61 
RIFO        10.32       276.08 
RIGA        56.95       24.06 
RIGS        45.33       14.48 
RIJE        45.37       14.35 
RIKT        41.59       288.57 
RILI        41.94       288.54 
RILN        41.94       288.54 
RIMO        48.44       291.48 
RINK        71.85       309.01 
RIO1        42.46       357.57 
RIO2        -53.79      292.25 
RIO4        -33.13      295.65 
RIOB        -9.97       292.20 
RIOD        -22.82      316.69 
RIOH        11.51       287.13 
RIOJ        42.46       357.50 
RIOP        -1.65       281.35 
RIOS        41.89       354.95 
RIPA        -39.17      176.49 
RIRU        41.84       288.65 
RIS5        42.01       269.77 
RIS6        42.01       269.78 
RISA        48.37       20.01 
RISO        48.37       20.01 
RISU        38.63       240.57 
RIV1        4.58        284.67 
RIVG        -21.25      55.70 
RIVN        -17.71      129.99 
RIVR        48.21       265.71 
RIXH        47.73       7.38 
RJAB        37.02       238.44 
RJCG        -21.76      318.67 
RKD1        48.96       240.59 
RKLD        -19.97      137.83 
RKMG        33.67       242.39 
RKSK        55.96       25.59 
RKTG        -23.12      225.03 
RLA2        51.06       260.48 
RLAB        31.63       275.81 
RLAP        36.47       270.65 
RLAT        33.95       276.66 
RLAV        32.18       275.88 
RLCF        33.89       276.79 
RLCH        34.48       275.05 
RLCN        34.31       275.58 
RLCU        34.17       275.86 
RLCV        34.15       275.21 
RLDV        33.74       275.21 
RLMC        32.83       276.37 
RLMD        33.44       275.85 
RLSO        38.06       21.46 
RLST        -24.41      148.40 
RLTY        33.44       275.38 
RMBA        -43.78      287.05 
RMBO        -83.87      293.61 
RMDB        44.26       238.85 
RMES        44.05       12.55 
RMJT        27.31       86.55 
RMLS        -39.72      289.31 
RMND        25.61       279.62 
RMNI        44.05       12.58 
RMPO        41.81       12.70 
RMRA        42.20       13.52 
RMRK        46.75       239.21 
RMTE        26.99       86.60 
RMVJ        33.49       242.44 
RMZT        44.42       5.36 
RNAN        43.30       355.59 
RNBO        -35.91      141.99 
RNCH        35.90       239.48 
RNFW        45.43       283.42 
RNGT        12.51       92.91 
RNI2        41.70       14.15 
RNIS        -11.59      144.03 
RNKN        62.81       267.91 
RNMO        -5.20       322.67 
RNNA        -5.84       324.79 
RNNE        46.04       4.06 
RNO1        39.54       240.11 
RNPF        -6.13       321.79 
RNSP        -18.39      133.82 
ROA0        16.32       273.47 
ROAG        36.46       353.79 
ROAH        36.46       353.79 
ROAN        41.90       12.42 
ROAP        36.46       353.79 
ROB1        -32.98      288.98 
ROB2        51.23       258.62 
ROB4        -77.03      163.19 
ROBB        53.08       243.22 
ROBC        -33.63      281.17 
ROBE        7.11        40.03 
ROBI        -28.08      153.38 
ROBL        -32.98      288.98 
ROBN        -65.25      300.56 
ROBS        41.05       14.70 
ROBV        40.22       285.38 
ROC2        -23.38      150.51 
ROCD        -13.12      299.46 
ROCH        33.61       243.39 
ROCK        34.24       241.32 
ROCP        37.82       237.94 
ROD1        30.07       264.47 
RODE        -30.21      290.87 
RODI        42.30       352.41 
RODO        36.29       28.16 
ROGE        36.22       242.91 
ROGM        -10.78      294.67 
ROHR        48.57       14.00 
ROIO        42.34       13.38 
ROJI        -10.86      298.04 
ROJO        38.58       242.45 
ROKA        -17.33      178.19 
ROLL        46.36       297.70 
ROM1        -26.57      148.79 
ROM2        64.22       29.93 
ROMA        41.90       12.42 
ROMY        49.17       3.77 
RONC        45.98       10.67 
ROND        36.75       354.86 
RONL        42.81       359.05 
ROPB        36.93       238.22 
ROPI        42.33       13.34 
ROS2        48.85       264.22 
ROS3        32.31       53.82 
ROS4        39.60       16.64 
ROS5        -24.63      151.91 
ROSA        -22.52      307.05 
ROSD        45.69       6.63 
ROSE        40.80       241.29 
ROSI        45.63       6.86 
ROSP        46.32       23.14 
ROSR        61.97       227.51 
ROSS        48.83       272.48 
ROSU        45.49       25.94 
ROTB        -67.57      291.87 
ROTG        48.72       356.03 
ROTH        -67.57      291.87 
ROU2        46.40       285.14 
ROU_        48.23       280.99 
ROUG        38.40       241.01 
ROUL        48.31       357.63 
ROUY        48.24       280.97 
ROVE        45.89       11.04 
ROVI        45.09       11.78 
ROVR        45.65       11.07 
ROXY        36.84       245.34 
ROYA        45.64       358.98 
ROYS        38.26       242.39 
ROZH        41.70       24.74 
RP01        14.54       121.04 
RP02        33.53       242.40 
RPAS        39.36       242.59 
RPFB        29.48       264.49 
RPT5        47.39       237.63 
RPT6        47.39       237.63 
RPUB        48.65       241.27 
RPUR        23.04       90.76 
RRES        41.77       19.87 
RRHS        35.27       253.33 
RRW1        42.35       270.94 
RSAL        -29.79      304.23 
RSBG        43.24       236.64 
RSBY        -23.16      150.79 
RSCL        -28.14      305.25 
RSHF        43.82       268.24 
RSM1        43.94       12.45 
RSMN        43.93       12.45 
RSNO        8.82        277.14 
RSPE        -31.80      307.58 
RSPF        -28.23      307.61 
RSPX        45.15       7.27 
RST2        43.94       5.48 
RSTD        47.24       39.59 
RSTL        43.94       5.48 
RSTO        42.66       14.00 
RSTP        34.88       241.81 
RSTZ        47.21       39.69 
RSVY        34.54       240.82 
RSWT        -34.54      138.75 
RTDN        38.32       271.10 
RTHS        34.09       242.65 
RTM2        47.52       14.34 
RTSD        13.76       100.51 
RUBI        3.79        288.58 
RUBY        40.62       244.88 
RUFI        -34.26      297.29 
RUHN        57.78       23.27 
RUIS        51.09       3.34 
RUMI        45.72       7.20 
RUMP        36.26       244.13 
RUND        -17.91      19.78 
RUNG        32.97       245.02 
RUPT        48.43       5.14 
RUS1        -25.65      27.28 
RUSH        43.67       264.21 
RUSS        39.22       241.24 
RUST        4.80        6.98 
RUTH        -36.10      146.51 
RUUS        -34.04      141.27 
RVDI        41.04       286.42 
RVLG        -21.26      55.70 
RVLO        40.08       15.76 
RVNE        50.61       26.26 
RVNW        -20.11      146.90 
RVO_        -4.19       152.16 
RVSD        33.92       242.58 
RVSO        -17.61      145.48 
RWDN        40.09       259.35 
RWNA        -29.78      149.00 
RWSN        -43.30      294.89 
RXBY        -30.56      136.90 
RXT4        46.62       295.17 
RYA1        48.22       243.74 
RYAN        36.32       243.35 
RYCR        55.76       241.29 
RYEP        40.55       241.58 
RYLS        -32.79      149.98 
RYMD        46.68       236.27 
RYON        46.69       358.57 
RZE1        41.04       40.49 
S004        31.43       130.88 
S006        35.27       138.63 
S009        36.21       140.22 
S011        38.59       269.79 
S043        34.88       138.02 
S045        34.88       137.82 
S046        36.38       138.48 
S047        42.30       143.03 
S048        34.74       137.77 
S049        43.62       144.44 
S050        43.33       145.68 
S052        42.98       144.13 
S053        42.68       143.64 
S054        38.27       141.48 
S055        38.79       141.49 
S056        38.59       141.49 
S057        38.50       141.53 
S058        38.36       141.43 
S059        38.30       141.06 
S061        -0.22       281.51 
S062        40.79       141.40 
S063        40.30       141.78 
S064        40.00       141.93 
S065        39.16       141.84 
S066        38.99       141.67 
S067        37.73       140.32 
S069        36.71       140.72 
S070        37.64       140.98 
S071        38.92       282.93 
S106        35.01       139.08 
S107        34.97       139.10 
S110        36.11       140.09 
S1EN        43.31       11.34 
S300        37.67       238.44 
SA00        40.04       254.76 
SA01        42.62       288.51 
SA02        38.99       283.16 
SA03        44.54       287.97 
SA04        24.97       121.19 
SA05        40.00       283.65 
SA06        43.76       288.31 
SA08        30.40       262.26 
SA09        39.98       254.73 
SA10        51.08       245.87 
SA11        41.32       254.33 
SA12        38.95       267.67 
SA15        39.25       283.29 
SA17        31.72       261.01 
SA18        27.57       260.57 
SA19        33.87       261.48 
SA20        25.73       279.84 
SA22        40.68       285.77 
SA23        41.93       248.58 
SA24        31.37       250.31 
SA25        40.11       271.78 
SA27        29.08       249.04 
SA29        45.41       286.06 
SA30        42.51       267.54 
SA31        33.45       248.05 
SA33        31.30       246.47 
SA34        39.99       116.31 
SA37        34.72       273.35 
SA39        -12.42      130.89 
SA40        -0.52       166.92 
SA41        40.79       282.13 
SA42        -2.06       147.43 
SA43        38.90       267.73 
SA45        -32.47      137.93 
SA46        32.23       249.05 
SA48        31.92       248.14 
SA50        31.29       246.50 
SA56        45.95       293.36 
SA58        45.42       286.06 
SA59        32.69       245.50 
SA60        39.98       254.72 
SA61        27.07       250.57 
SA62        40.59       254.85 
SA63        32.69       245.50 
SA67        40.04       254.76 
SAAV        -38.79      286.62 
SAB1        43.93       299.99 
SABA        44.76       19.70 
SABB        55.90       357.87 
SABD        40.01       48.48 
SABL        46.53       358.19 
SABY        18.97       268.81 
SAC1        38.57       238.44 
SAC2        41.40       14.71 
SAC3        38.64       238.54 
SACA        33.10       248.20 
SACC        71.99       234.74 
SACH        71.99       234.75 
SACL        37.38       238.02 
SACR        38.66       238.65 
SACS        42.85       11.91 
SACY        33.74       242.10 
SADE        -8.19       110.80 
SADM        46.46       286.85 
SAEF        40.72       8.57 
SAFQ        43.96       2.86 
SAG5        43.63       276.16 
SAG6        43.63       276.16 
SAGA        -0.14       292.94 
SAGE        48.43       288.94 
SAGI        46.70       358.06 
SAGM        -32.95      121.55 
SAGR        37.02       351.04 
SAHE        47.23       358.35 
SAID        40.91       239.29 
SAIS        -36.23      293.06 
SAJA        -30.57      300.07 
SAJU        10.07       274.29 
SAK4        52.05       253.52 
SAKI        54.95       23.05 
SAL0        37.83       12.81 
SAL3        36.79       238.39 
SAL4        45.62       10.52 
SAL5        35.37       265.18 
SAL6        35.37       265.18 
SAL7        37.83       359.22 
SAL8        56.68       22.47 
SAL9        40.42       15.56 
SALA        40.95       354.50 
SALB        39.88       16.35 
SALC        -24.21      293.68 
SALD        42.52       355.26 
SALE        53.43       357.68 
SALF        -0.23       281.85 
SALH        38.48       28.12 
SALL        62.19       284.33 
SALM        50.66       240.64 
SALN        12.62       273.14 
SALO        33.87       246.30 
SALP        32.07       35.19 
SALS        43.41       353.74 
SALT        -28.27      153.57 
SALU        -2.59       315.79 
SALV        -13.01      321.49 
SAM1        30.24       262.16 
SAM2        30.24       262.16 
SAM3        37.79       26.71 
SAM4        47.69       357.95 
SAMA        11.23       285.81 
SAME        45.67       1.55 
SAMM        47.54       237.97 
SAMN        41.34       36.26 
SAMO        -13.85      188.26 
SAMP        3.62        98.71 
SAMR        53.23       50.23 
SAN0        12.58       278.28 
SAN1        41.55       23.27 
SAN3        39.26       16.69 
