# Sta         Lat(deg)    Long(deg)
ALLE        45.20       3.71 
ALLG        39.65       281.27 
ALM2        48.56       288.36 
ALMA        -9.55       324.22 
ALMB        30.71       271.95 
ALME        36.85       357.54 
ALMJ        31.03       271.77 
ALMO        38.71       355.82 
ALMR        36.86       357.56 
ALMZ        41.50       357.46 
ALNB        31.38       274.08 
ALNC        34.68       272.69 
ALON        31.71       34.61 
ALOR        39.93       4.14 
ALP1        41.72       12.61 
ALPA        11.53       287.08 
ALPE        45.09       6.08 
ALPP        34.82       241.31 
ALRA        41.73       14.03 
ALRE        31.41       272.77 
ALRT        82.49       297.66 
ALSA        42.89       357.84 
ALSC        59.19       221.68 
ALSE        32.45       272.99 
ALSN        44.92       8.62 
ALSP        34.42       272.83 
ALT2        40.82       16.56 
ALTA        33.42       273.88 
ALTH        36.89       239.33 
ALTU        31.80       274.05 
ALU2        47.04       3.63 
ALUK        57.42       27.07 
ALUM        -27.32      293.40 
ALUT        40.58       248.38 
ALV2        42.82       278.13 
ALVN        29.40       264.72 
ALW2        -34.71      140.49 
ALWB        30.42       272.17 
ALWJ        26.46       36.38 
ALX2        31.20       29.91 
ALXN        48.67       33.11 
ALXR        43.97       25.33 
ALYT        54.39       24.04 
AMA1        39.12       16.08 
AMA2        46.37       13.08 
AMAN        1.22        111.46 
AMAR        38.21       352.77 
AMAS        40.67       35.85 
AMB1        -41.20      146.38 
AMB2        45.54       3.75 
AMBC        -0.97       297.07 
AMBE        54.43       357.04 
AMBI        25.98       262.52 
AMBL        49.86       0.99 
AMBN        -3.70       128.18 
AMC2        38.80       255.48 
AMC4        38.80       255.48 
AMCO        -4.87       294.67 
AMCR        -4.09       296.86 
AMCS        38.80       255.48 
AMDE        -20.24      292.37 
AME3        29.45       268.66 
AMEL        53.45       5.76 
AMER        51.68       359.44 
AMES        41.98       266.32 
AMHA        -7.52       296.97 
AMHG        42.04       277.02 
AMHT        45.83       295.81 
AMHU        -7.50       296.97 
AMIY        47.97       2.73 
AMMN        32.03       35.88 
AMMU        -3.40       302.29 
AMNH        21.50       39.17 
AMNS        49.86       2.24 
AMOS        48.56       281.89 
AMPE        46.41       12.80 
AMPR        -2.63       303.27 
AMS1        48.15       14.86 
AMS3        48.56       281.89 
AMTA        -4.22       290.06 
AMTE        -3.35       295.29 
AMTS        41.74       289.38 
AMU1        43.06       357.00 
AMU2        -90.00      243.46 
AMUA        -3.09       299.98 
AMUN        -90.00      138.98 
AMUR        40.91       16.60 
ANA1        34.02       240.64 
ANAT        46.13       242.86 
ANAU        -38.27      178.29 
ANAV        37.73       23.90 
ANAY        45.24       4.68 
ANC1        61.18       210.00 
ANC2        61.18       210.02 
ANC3        43.61       13.53 
ANCA        43.22       280.01 
ANCG        43.60       13.50 
ANCN        -11.78      282.85 
ANCY        45.90       6.12 
AND1        69.33       16.13 
AND2        12.59       278.30 
AND3        27.04       277.60 
AND4        50.95       245.86 
ANDA        -30.45      137.16 
ANDE        48.79       4.95 
ANDO        69.28       16.01 
ANDR        37.89       24.74 
ANDS        41.60       272.87 
ANDU        38.04       355.97 
ANG3        40.93       15.18 
ANG4        -38.40      144.19 
ANG5        29.30       264.51 
ANG6        29.30       264.52 
ANG7        46.92       288.91 
ANG8        -37.80      287.31 
ANGE        47.47       359.45 
ANGL        46.41       358.59 
ANGO        45.11       270.84 
ANGS        -2.51       140.70 
ANIG        21.05       255.48 
ANIK        36.83       22.28 
ANIP        19.40       204.48 
ANKO        9.58        39.74 
ANKR        39.89       32.76 
ANKY        35.87       23.30 
ANLX        51.69       354.92 
ANMG        2.78        101.51 
ANMU        36.07       32.87 
ANN1        49.13       293.51 
ANNA        -32.78      152.09 
ANNE        45.93       6.10 
ANNO        45.24       4.67 
ANNY        45.90       6.11 
ANOP        35.22       24.10 
ANP5        39.01       283.39 
ANP6        39.01       283.39 
ANRK        39.86       32.85 
